Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Science,No,Practical,Yes,Java,Utility Software,CyberSecurity,C/C++
Science,Yes,Both,Yes,C/C++,Web Development,Data Science,C/C++
Science,No,Both,Yes,Python,Web Development,Software Engineering,C/C++
Science,Yes,Practical,Yes,Python;C/C++,Web Development;Application Development,Data Science;CyberSecurity;Web Developement,C/C++;Operating System
Science,No,Practical,Yes,Java,Web Development,Software Engineering;CyberSecurity;Web Developement,C/C++
Science,Yes,Practical,Yes,Python;C/C++;JavaScript,Web Development;Android App Development;Utility Software,AI/ML;Data Science;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,Web Development,Web Developement,C/C++
Science,No,Both,Yes,Python,Application Development,AI/ML,C/C++
Science,No,Both,Yes,Python;C/C++,Web Development;Android App Development;Application Development,Data Science;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,Web Development,Data Science,C/C++
Science,Yes,Both,Yes,Java,Application Development,Software Engineering,C/C++
Science,No,Practical,Yes,C/C++,Android App Development,Data Science;Software Engineering,C/C++
Science,No,Both,No,Python;Java;C/C++;JavaScript,Web Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,C/C++,Web Development,Data Science,C/C++
Science,No,Practical,Yes,Python;Java;C/C++,Android App Development,Software Engineering,C/C++
Science,No,Theoretical,Yes,C/C++,Web Development,Web Developement,C/C++
Science,Yes,Both,Yes,Java;JavaScript,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Java,Web Development,Data Science,C/C++
Science,No,Practical,Yes,Java,Web Development,Web Developement,Operating System
Science,No,Both,No,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Utility Software,AI/ML;Data Science,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python,Web Development,AI/ML,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python,Web Development,Data Science,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++,Web Development;Android App Development;Windows Application Development;Application Development,Data Science;Software Engineering;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,Python;Java;C/C++;Angular JS,Android App Development;Windows Application Development;Application Development,AI/ML;Data Science;Software Engineering,C/C++;Operating System;Data Structure;Angular JS;Software Engineering
Science,No,Both,Yes,C/C++,Web Development,Data Science,Data Structure
Science,No,Practical,Yes,Python;Java;C/C++,Web Development,AI/ML,C/C++;Operating System;Data Structure
Science,No,Practical,Yes,Java,Web Development;Android App Development,Data Science,Data Structure
Science,Yes,Theoretical,Yes,C/C++,Web Development,Software Engineering,C/C++
Science,Yes,Both,Yes,Java;JavaScript,Web Development,Data Science;Web Developement,Operating System
Science,Yes,Both,Yes,Python;Java;C/C++,Web Development;Windows Application Development,AI/ML;Data Science,C/C++
Science,No,Both,Yes,Python;Java;JavaScript,Web Development;Windows Application Development;Application Development,Software Engineering;Web Developement,C/C++;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,Web Development,Data Science,C/C++
Science,Yes,Both,Yes,C/C++,Web Development,Software Engineering,C/C++
Science,No,Both,No,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Windows Application Development;Application Development,Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Node JS;Software Engineering
Science,No,Both,Yes,Python;Java,Web Development,Web Developement,C/C++;Data Structure
Science,Yes,Practical,Yes,Java,Web Development,CyberSecurity,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Application Development,Data Science;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python;Java;JavaScript,Web Development;Android App Development,AI/ML;Web Developement,Data Structure
Science,Yes,Practical,No,Python;Java;C/C++,Web Development;Application Development,AI/ML;Data Science;Web Developement,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++,Web Development,CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python;C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Both,Yes,Python;C/C++,Web Development,Software Engineering,C/C++;Data Structure
Science,No,Both,Yes,Python;C/C++;JavaScript,Application Development;Utility Software,Data Science;CyberSecurity,C/C++;Data Structure;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Data Structure
Science,Yes,Theoretical,Yes,JavaScript,Application Development,Software Engineering,Data Structure
Science,No,Practical,Yes,JavaScript,Web Development,Web Developement,Node JS
Science,No,Practical,Yes,Python;Java;C/C++,Web Development;Android App Development;Windows Application Development,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Node JS
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,No,Java;C/C++;JavaScript,Web Development,Data Science;Web Developement,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++,Web Development;Android App Development;Windows Application Development,Data Science;CyberSecurity;Web Developement,C/C++
